CDM,AIRPORT,PHASE,coverage_target,n_flights,adherence_rate,mean_buf_width,median_buf_width
CDM,EDDB,ARR,0.5,1191,0.4995801847187238,16.75,16.75
CDM,EDDB,DEP,0.5,1186,0.5008431703204047,14.933333333333334,14.933333333333334
CDM,EDDF,ARR,0.5,2519,0.5001984914648671,18.575,18.575
CDM,EDDF,DEP,0.5,2512,0.5,11.845833333333335,11.845833333333335
non-CDM,EDDC,ARR,0.5,67,0.5074626865671642,12.5,12.5
non-CDM,EDDC,DEP,0.5,67,0.5373134328358209,14,14
non-CDM,EDDN,ARR,0.5,251,0.5219123505976095,15,15
non-CDM,EDDN,DEP,0.5,253,0.5335968379446641,13,13
CDM,EDDB,ARR,0.55,1191,0.5499580184718724,18.991666666666667,18.991666666666667
CDM,EDDB,DEP,0.55,1186,0.5497470489038786,16.743750000000002,16.743750000000002
CDM,EDDF,ARR,0.55,2519,0.5506153235410878,21.5,21.5
CDM,EDDF,DEP,0.55,2512,0.5509554140127388,13.3,13.3
non-CDM,EDDC,ARR,0.55,67,0.5522388059701493,17.599999999999998,17.599999999999998
non-CDM,EDDC,DEP,0.55,67,0.5970149253731343,15.149999999999999,15.149999999999999
non-CDM,EDDN,ARR,0.55,251,0.5776892430278885,18.174999999999997,18.174999999999997
non-CDM,EDDN,DEP,0.55,253,0.5533596837944664,14.300000000000011,14.300000000000011
CDM,EDDB,ARR,0.6,1191,0.6036943744752309,21.5,21.5
CDM,EDDB,DEP,0.6,1186,0.6003372681281619,19.15,19.15
CDM,EDDF,ARR,0.6,2519,0.5998412068281064,24.33,24.33
CDM,EDDF,DEP,0.6,2512,0.5999203821656051,15.58,15.58
non-CDM,EDDC,ARR,0.6,67,0.6716417910447762,21,21
non-CDM,EDDC,DEP,0.6,67,0.6119402985074627,16.800000000000004,16.800000000000004
non-CDM,EDDN,ARR,0.6,251,0.6055776892430279,19.71666666666667,19.71666666666667
non-CDM,EDDN,DEP,0.6,253,0.6047430830039525,17.600000000000023,17.600000000000023
CDM,EDDB,ARR,0.65,1191,0.6490344248530646,24.195833333333333,24.195833333333333
CDM,EDDB,DEP,0.65,1186,0.6492411467116358,22.53125,22.53125
CDM,EDDF,ARR,0.65,2519,0.6502580389043271,27.51416666666665,27.51416666666665
CDM,EDDF,DEP,0.65,2512,0.6496815286624203,17.754999999999995,17.754999999999995
non-CDM,EDDC,ARR,0.65,67,0.6716417910447762,21.450000000000003,21.450000000000003
non-CDM,EDDC,DEP,0.65,67,0.6417910447761194,18.79999999999999,18.79999999999999
non-CDM,EDDN,ARR,0.65,251,0.6533864541832669,22.12083333333333,22.12083333333333
non-CDM,EDDN,DEP,0.65,253,0.6877470355731226,21,21
CDM,EDDB,ARR,0.7,1191,0.6994122586062133,28.03333333333333,28.03333333333333
CDM,EDDB,DEP,0.7,1186,0.6998313659359191,25.404166666666665,25.404166666666665
CDM,EDDF,ARR,0.7,2519,0.7014688368400159,31.25,31.25
CDM,EDDF,DEP,0.7,2512,0.7002388535031847,21.095,21.095
non-CDM,EDDC,ARR,0.7,67,0.7164179104477612,23.1,23.1
non-CDM,EDDC,DEP,0.7,67,0.746268656716418,23.1,23.1
non-CDM,EDDN,ARR,0.7,251,0.701195219123506,25.499999999999993,25.499999999999993
non-CDM,EDDN,DEP,0.7,253,0.7075098814229249,22.086666666666662,22.086666666666662
CDM,EDDB,ARR,0.75,1191,0.7506297229219143,31.975,31.975
CDM,EDDB,DEP,0.75,1186,0.7487352445193929,29.45625,29.45625
CDM,EDDF,ARR,0.75,2519,0.7499007542675665,36.420833333333334,36.420833333333334
CDM,EDDF,DEP,0.75,2512,0.75,24.327083333333334,24.327083333333334
non-CDM,EDDC,ARR,0.75,67,0.7313432835820896,25.5,25.5
non-CDM,EDDC,DEP,0.75,67,0.7611940298507462,26.25,26.25
non-CDM,EDDN,ARR,0.75,251,0.749003984063745,28.075,28.075
non-CDM,EDDN,DEP,0.75,253,0.758893280632411,27.5,27.5
CDM,EDDB,ARR,0.8,1191,0.8001679261125105,37.33333333333334,37.33333333333334
CDM,EDDB,DEP,0.8,1186,0.8001686340640809,34.25833333333333,34.25833333333333
CDM,EDDF,ARR,0.8,2519,0.7999206034140532,41.446666666666744,41.446666666666744
CDM,EDDF,DEP,0.8,2512,0.8005573248407644,29.910000000000018,29.910000000000018
non-CDM,EDDC,ARR,0.8,67,0.7910447761194029,32.8,32.8
non-CDM,EDDC,DEP,0.8,67,0.8059701492537313,33.400000000000006,33.400000000000006
non-CDM,EDDN,ARR,0.8,251,0.8007968127490039,31.18333333333334,31.18333333333334
non-CDM,EDDN,DEP,0.8,253,0.8023715415019763,31,31
CDM,EDDB,ARR,0.8500000000000001,1191,0.8488664987405542,45.21666666666668,45.21666666666668
CDM,EDDB,DEP,0.8500000000000001,1186,0.8499156829679595,39.07291666666667,39.07291666666667
CDM,EDDF,ARR,0.8500000000000001,2519,0.8499404525605398,48.06583333333336,48.06583333333336
CDM,EDDF,DEP,0.8500000000000001,2512,0.8495222929936306,34.890416666666695,34.890416666666695
non-CDM,EDDC,ARR,0.8500000000000001,67,0.8656716417910447,37.20000000000002,37.20000000000002
non-CDM,EDDC,DEP,0.8500000000000001,67,0.8507462686567164,37.10000000000001,37.10000000000001
non-CDM,EDDN,ARR,0.8500000000000001,251,0.8645418326693227,40,40
non-CDM,EDDN,DEP,0.8500000000000001,253,0.857707509881423,37,37
CDM,EDDB,ARR,0.9,1191,0.8992443324937027,54.84166666666667,54.84166666666667
CDM,EDDB,DEP,0.9,1186,0.8988195615514334,46.699999999999996,46.699999999999996
